,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
19919,1996-10-06,Ghana,Angola,2,1,African Cup of Nations qualification,Kumasi,Ghana,False
19920,1996-10-06,Mauritius,Malawi,1,2,African Cup of Nations qualification,Curepipe,Mauritius,False
19921,1996-10-06,Panama,El Salvador,1,1,FIFA World Cup qualification,Panama City,Panama,False
19922,1996-10-06,Sudan,Zimbabwe,0,3,African Cup of Nations qualification,Khartoum,Sudan,False
19923,1996-10-06,Trinidad and Tobago,Guatemala,1,1,FIFA World Cup qualification,Port of Spain,Trinidad and Tobago,False
19924,1996-10-06,Tunisia,Sierra Leone,2,0,African Cup of Nations qualification,Tunis,Tunisia,False
19925,1996-10-06,Zambia,Mozambique,1,0,African Cup of Nations qualification,Lusaka,Zambia,False
19927,1996-10-08,Bosnia and Herzegovina,Croatia,1,4,FIFA World Cup qualification,Bologna,Italy,True
19929,1996-10-08,Luxembourg,Bulgaria,1,2,FIFA World Cup qualification,Luxembourg,Luxembourg,False
19930,1996-10-08,Uruguay,Bolivia,1,0,FIFA World Cup qualification,Montevideo,Uruguay,False
19931,1996-10-09,Albania,Portugal,0,3,FIFA World Cup qualification,Tirana,Albania,False
19932,1996-10-09,Armenia,Germany,1,5,FIFA World Cup qualification,Yerevan,Armenia,False
19933,1996-10-09,Belarus,Latvia,1,1,FIFA World Cup qualification,Minsk,Belarus,False
19935,1996-10-09,Czech Republic,Spain,0,0,FIFA World Cup qualification,Prague,Czech Republic,False
19936,1996-10-09,Denmark,Greece,2,1,FIFA World Cup qualification,Copenhagen,Denmark,False
19937,1996-10-09,Ecuador,Colombia,0,1,FIFA World Cup qualification,Quito,Ecuador,False
19938,1996-10-09,England,Poland,2,1,FIFA World Cup qualification,London,England,False
19940,1996-10-09,Iceland,Romania,0,4,FIFA World Cup qualification,Reykjavík,Iceland,False
19941,1996-10-09,Republic of Ireland,North Macedonia,3,0,FIFA World Cup qualification,Dublin,Republic of Ireland,False
19942,1996-10-09,Israel,Russia,1,1,FIFA World Cup qualification,Ramat-Gan,Israel,False
19943,1996-10-09,Italy,Georgia,1,0,FIFA World Cup qualification,Perugia,Italy,False
19945,1996-10-09,Lithuania,Liechtenstein,2,1,FIFA World Cup qualification,Vilnius,Lithuania,False
19946,1996-10-09,Norway,Hungary,3,0,FIFA World Cup qualification,Oslo,Norway,False
19947,1996-10-09,Paraguay,Chile,2,1,FIFA World Cup qualification,Asunción,Paraguay,False
19948,1996-10-09,San Marino,Belgium,0,3,FIFA World Cup qualification,Serravalle,San Marino,False
19950,1996-10-09,Sweden,Austria,0,1,FIFA World Cup qualification,Solna,Sweden,False
19951,1996-10-09,Venezuela,Argentina,2,5,FIFA World Cup qualification,San Cristóbal,Venezuela,False
19952,1996-10-10,Canada,Cuba,2,0,FIFA World Cup qualification,Edmonton,Canada,False
19953,1996-10-13,Canada,Cuba,2,0,FIFA World Cup qualification,Edmonton,Canada,False
19955,1996-10-15,Oman,Saudi Arabia,0,1,Gulf Cup,Muscat,Oman,False
19957,1996-10-16,Kuwait,Bahrain,1,0,Gulf Cup,Muscat,Oman,True
19958,1996-10-16,Mexico,Jamaica,2,1,FIFA World Cup qualification,Mexico City,Mexico,False
19960,1996-10-16,United Arab Emirates,Qatar,0,1,Gulf Cup,Muscat,Oman,True
19961,1996-10-18,Oman,Kuwait,1,2,Gulf Cup,Muscat,Oman,False
19962,1996-10-18,United Arab Emirates,Bahrain,1,1,Gulf Cup,Muscat,Oman,True
19964,1996-10-19,Qatar,Saudi Arabia,2,2,Gulf Cup,Muscat,Oman,True
19966,1996-10-21,Oman,Qatar,0,3,Gulf Cup,Muscat,Oman,False
19967,1996-10-21,Saudi Arabia,Bahrain,3,1,Gulf Cup,Muscat,Oman,True
19968,1996-10-22,Kuwait,United Arab Emirates,1,2,Gulf Cup,Muscat,Oman,True
19970,1996-10-23,Slovakia,Faroe Islands,3,0,FIFA World Cup qualification,Bratislava,Slovakia,False
19971,1996-10-24,Kuwait,Saudi Arabia,1,0,Gulf Cup,Muscat,Oman,True
19972,1996-10-24,Oman,United Arab Emirates,0,0,Gulf Cup,Muscat,Oman,False
19973,1996-10-25,Bahrain,Qatar,1,2,Gulf Cup,Muscat,Oman,True
19974,1996-10-26,Honduras,Jamaica,0,0,FIFA World Cup qualification,San Pedro Sula,Honduras,False
19975,1996-10-27,Panama,Canada,0,0,FIFA World Cup qualification,Panama City,Panama,False
19976,1996-10-27,Tahiti,Australia,0,6,Oceania Nations Cup,Papeete,French Polynesia,True
19977,1996-10-27,United Arab Emirates,Saudi Arabia,2,2,Gulf Cup,Muscat,Oman,True
19978,1996-10-28,Oman,Bahrain,1,1,Gulf Cup,Muscat,Oman,False
19979,1996-10-28,Qatar,Kuwait,1,2,Gulf Cup,Muscat,Oman,True
19982,1996-11-01,Australia,Tahiti,5,0,Oceania Nations Cup,Canberra,Australia,False
19984,1996-11-03,Canada,El Salvador,1,0,FIFA World Cup qualification,Burnaby,Canada,False
19987,1996-11-03,United States,Guatemala,2,0,FIFA World Cup qualification,Washington,United States,False
19989,1996-11-06,Mexico,Honduras,3,1,FIFA World Cup qualification,Mexico City,Mexico,False
19993,1996-11-08,Egypt,Namibia,7,1,FIFA World Cup qualification,Cairo,Egypt,False
19996,1996-11-09,Albania,Armenia,1,1,FIFA World Cup qualification,Tirana,Albania,False
19997,1996-11-09,Austria,Latvia,2,1,FIFA World Cup qualification,Vienna,Austria,False
19999,1996-11-09,Georgia,England,0,2,FIFA World Cup qualification,Tbilisi,Georgia,False
20000,1996-11-09,Germany,Northern Ireland,1,1,FIFA World Cup qualification,Nuremberg,Germany,False
20001,1996-11-09,Liechtenstein,North Macedonia,1,11,FIFA World Cup qualification,Eschen,Liechtenstein,False
20002,1996-11-09,Morocco,Sierra Leone,4,0,FIFA World Cup qualification,Rabat,Morocco,False
20003,1996-11-09,Netherlands,Wales,7,1,FIFA World Cup qualification,Eindhoven,Netherlands,False
20004,1996-11-09,Nigeria,Burkina Faso,2,0,FIFA World Cup qualification,Lagos,Nigeria,False
20005,1996-11-09,Portugal,Ukraine,1,0,FIFA World Cup qualification,Porto,Portugal,False
20006,1996-11-09,South Africa,DR Congo,1,0,FIFA World Cup qualification,Johannesburg,South Africa,False
20007,1996-11-10,Angola,Zimbabwe,2,1,FIFA World Cup qualification,Luanda,Angola,False
20008,1996-11-10,Azerbaijan,Hungary,0,3,FIFA World Cup qualification,Baku,Azerbaijan,False
20009,1996-11-10,Bolivia,Colombia,2,2,FIFA World Cup qualification,La Paz,Bolivia,False
20010,1996-11-10,Congo,Zambia,1,0,FIFA World Cup qualification,Pointe-Noire,Congo,False
20011,1996-11-10,Croatia,Greece,1,1,FIFA World Cup qualification,Zagreb,Croatia,False
20012,1996-11-10,Cyprus,Israel,2,0,FIFA World Cup qualification,Limassol,Cyprus,False
20013,1996-11-10,El Salvador,Panama,3,2,FIFA World Cup qualification,San Salvador,El Salvador,False
20014,1996-11-10,Gabon,Ghana,1,1,FIFA World Cup qualification,Libreville,Gabon,False
20015,1996-11-10,Guinea,Kenya,3,1,FIFA World Cup qualification,Conakry,Guinea,False
20016,1996-11-10,Republic of Ireland,Iceland,0,0,FIFA World Cup qualification,Dublin,Republic of Ireland,False
20017,1996-11-10,Liberia,Tunisia,0,1,FIFA World Cup qualification,Accra,Ghana,True
20018,1996-11-10,Luxembourg,Russia,0,4,FIFA World Cup qualification,Luxembourg,Luxembourg,False
20019,1996-11-10,Paraguay,Ecuador,1,0,FIFA World Cup qualification,Asunción,Paraguay,False
20020,1996-11-10,Peru,Venezuela,4,1,FIFA World Cup qualification,Lima,Peru,False
20021,1996-11-10,Poland,Moldova,2,1,FIFA World Cup qualification,Katowice,Poland,False
20022,1996-11-10,Scotland,Sweden,1,0,FIFA World Cup qualification,Glasgow,Scotland,False
20023,1996-11-10,Serbia,Czech Republic,1,0,FIFA World Cup qualification,Belgrade,Yugoslavia,True
20024,1996-11-10,Slovenia,Bosnia and Herzegovina,1,2,FIFA World Cup qualification,Ljubljana,Slovenia,False
20025,1996-11-10,Switzerland,Norway,0,1,FIFA World Cup qualification,Berne,Switzerland,False
20026,1996-11-10,Togo,Cameroon,2,4,FIFA World Cup qualification,Lomé,Togo,False
20027,1996-11-10,Turkey,San Marino,7,0,FIFA World Cup qualification,Istanbul,Turkey,False
20028,1996-11-10,United States,Trinidad and Tobago,2,0,FIFA World Cup qualification,Richmond,United States,False
20029,1996-11-11,Tonga,Cook Islands,2,0,FIFA World Cup qualification,Nuku'alofa,Tonga,False
20030,1996-11-12,Chile,Uruguay,1,0,FIFA World Cup qualification,Santiago,Chile,False
20034,1996-11-13,Samoa,Cook Islands,2,1,FIFA World Cup qualification,Nuku'alofa,Tonga,True
20035,1996-11-13,Spain,Slovakia,4,1,FIFA World Cup qualification,Santa Cruz de Tenerife,Spain,False
20036,1996-11-15,Tonga,Samoa,1,0,FIFA World Cup qualification,Nuku'alofa,Tonga,False
20040,1996-11-17,Costa Rica,Guatemala,3,0,FIFA World Cup qualification,San José,Costa Rica,False
20041,1996-11-17,Jamaica,Mexico,1,0,FIFA World Cup qualification,Kingston,Jamaica,False
20042,1996-11-17,Sudan,Uganda,1,1,CECAFA Cup,Khartoum,Sudan,False
20043,1996-11-19,Kenya,Rwanda,2,1,CECAFA Cup,Kassala,Sudan,True
20049,1996-11-22,Rwanda,Zanzibar,1,1,CECAFA Cup,Kassala,Sudan,True
20050,1996-11-22,Tanzania,Uganda,0,1,CECAFA Cup,Khartoum,Sudan,True
20053,1996-11-24,Guatemala,Costa Rica,1,0,FIFA World Cup qualification,Los Angeles,United States,True
20055,1996-11-24,Kenya,Zanzibar,1,0,CECAFA Cup,Kassala,Sudan,True
20057,1996-11-24,Sudan,Tanzania,3,2,CECAFA Cup,Khartoum,Sudan,False
20058,1996-11-24,Trinidad and Tobago,United States,0,1,FIFA World Cup qualification,Port of Spain,Trinidad and Tobago,False
20063,1996-11-27,Uganda,Kenya,2,0,CECAFA Cup,Khartoum,Sudan,True
20067,1996-12-01,Costa Rica,United States,2,1,FIFA World Cup qualification,San José,Costa Rica,False
20068,1996-12-01,El Salvador,Cuba,3,0,FIFA World Cup qualification,San Salvador,El Salvador,False
20069,1996-12-04,Indonesia,Kuwait,2,2,AFC Asian Cup,Abu Dhabi,United Arab Emirates,True
20070,1996-12-04,United Arab Emirates,South Korea,1,1,AFC Asian Cup,Abu Dhabi,United Arab Emirates,False
20071,1996-12-05,Iran,Iraq,1,2,AFC Asian Cup,Dubai,United Arab Emirates,True
20073,1996-12-05,Saudi Arabia,Thailand,6,0,AFC Asian Cup,Dubai,United Arab Emirates,True
20074,1996-12-06,China PR,Uzbekistan,0,2,AFC Asian Cup,Al Ain,United Arab Emirates,True
20075,1996-12-06,Japan,Syria,2,1,AFC Asian Cup,Al Ain,United Arab Emirates,True
20076,1996-12-07,South Korea,Indonesia,4,2,AFC Asian Cup,Abu Dhabi,United Arab Emirates,True
20077,1996-12-07,United Arab Emirates,Kuwait,3,2,AFC Asian Cup,Abu Dhabi,United Arab Emirates,False
20078,1996-12-08,Guatemala,Trinidad and Tobago,2,1,FIFA World Cup qualification,Los Angeles,United States,True
20080,1996-12-08,Saudi Arabia,Iraq,1,0,AFC Asian Cup,Dubai,United Arab Emirates,True
20081,1996-12-08,Thailand,Iran,1,3,AFC Asian Cup,Dubai,United Arab Emirates,True
20082,1996-12-09,Japan,Uzbekistan,4,0,AFC Asian Cup,Al Ain,United Arab Emirates,True
20083,1996-12-09,Syria,China PR,0,3,AFC Asian Cup,Al Ain,United Arab Emirates,True
20084,1996-12-10,Kuwait,South Korea,2,0,AFC Asian Cup,Abu Dhabi,United Arab Emirates,True
20085,1996-12-10,United Arab Emirates,Indonesia,2,0,AFC Asian Cup,Abu Dhabi,United Arab Emirates,False
20086,1996-12-11,Czech Republic,Nigeria,2,1,King Hassan II Tournament,Casablanca,Morocco,True
20087,1996-12-11,Iraq,Thailand,4,1,AFC Asian Cup,Dubai,United Arab Emirates,True
20088,1996-12-11,Morocco,Croatia,2,2,King Hassan II Tournament,Casablanca,Morocco,False
20089,1996-12-11,Saudi Arabia,Iran,0,3,AFC Asian Cup,Dubai,United Arab Emirates,True
20090,1996-12-12,Croatia,Czech Republic,1,1,King Hassan II Tournament,Casablanca,Morocco,True
20091,1996-12-12,Japan,China PR,1,0,AFC Asian Cup,Al Ain,United Arab Emirates,True
20092,1996-12-12,Morocco,Nigeria,2,0,King Hassan II Tournament,Casablanca,Morocco,False
20093,1996-12-12,Uzbekistan,Syria,1,2,AFC Asian Cup,Al Ain,United Arab Emirates,True
20094,1996-12-14,Belgium,Netherlands,0,3,FIFA World Cup qualification,Brussels,Belgium,False
20095,1996-12-14,Cyprus,Bulgaria,1,3,FIFA World Cup qualification,Limassol,Cyprus,False
20097,1996-12-14,North Macedonia,Romania,0,3,FIFA World Cup qualification,Skopje,North Macedonia,False
20098,1996-12-14,Northern Ireland,Albania,2,0,FIFA World Cup qualification,Belfast,Northern Ireland,False
20099,1996-12-14,Portugal,Germany,0,0,FIFA World Cup qualification,Lisbon,Portugal,False
20100,1996-12-14,Spain,Serbia,2,0,FIFA World Cup qualification,Valencia,Spain,False
20101,1996-12-14,United States,Costa Rica,2,1,FIFA World Cup qualification,Palo Alto,United States,False
20102,1996-12-14,Wales,Turkey,0,0,FIFA World Cup qualification,Cardiff,Wales,False
20103,1996-12-15,Argentina,Chile,1,1,FIFA World Cup qualification,Buenos Aires,Argentina,False
20104,1996-12-15,Bolivia,Paraguay,0,0,FIFA World Cup qualification,La Paz,Bolivia,False
20105,1996-12-15,El Salvador,Canada,0,2,FIFA World Cup qualification,San Salvador,El Salvador,False
20106,1996-12-15,Israel,Luxembourg,1,0,FIFA World Cup qualification,Ramat-Gan,Israel,False
20108,1996-12-15,Kuwait,Japan,2,0,AFC Asian Cup,Al Ain,United Arab Emirates,True
20109,1996-12-15,Panama,Cuba,3,1,FIFA World Cup qualification,Panama City,Panama,False
20110,1996-12-15,United Arab Emirates,Iraq,1,0,AFC Asian Cup,Abu Dhabi,United Arab Emirates,False
20111,1996-12-15,Uruguay,Peru,2,0,FIFA World Cup qualification,Montevideo,Uruguay,False
20112,1996-12-15,Venezuela,Colombia,0,2,FIFA World Cup qualification,San Cristóbal,Venezuela,False
20113,1996-12-16,South Korea,Iran,2,6,AFC Asian Cup,Dubai,United Arab Emirates,True
20114,1996-12-16,Saudi Arabia,China PR,4,3,AFC Asian Cup,Abu Dhabi,United Arab Emirates,True
20116,1996-12-18,Malta,Spain,0,3,FIFA World Cup qualification,Attard,Malta,False
20117,1996-12-19,Iran,Saudi Arabia,0,0,AFC Asian Cup,Abu Dhabi,United Arab Emirates,True
20118,1996-12-19,United Arab Emirates,Kuwait,1,0,AFC Asian Cup,Abu Dhabi,United Arab Emirates,False
20120,1996-12-21,Costa Rica,Trinidad and Tobago,2,1,FIFA World Cup qualification,Cartago,Costa Rica,False
20121,1996-12-21,Guatemala,United States,2,2,FIFA World Cup qualification,San Salvador,El Salvador,True
20122,1996-12-21,Iran,Kuwait,1,1,AFC Asian Cup,Abu Dhabi,United Arab Emirates,True
20123,1996-12-21,United Arab Emirates,Saudi Arabia,0,0,AFC Asian Cup,Abu Dhabi,United Arab Emirates,False
20139,1997-01-11,Namibia,Liberia,0,0,FIFA World Cup qualification,Windhoek,Namibia,False
20140,1997-01-11,Sierra Leone,Gabon,1,0,FIFA World Cup qualification,Freetown,Sierra Leone,False
20141,1997-01-11,Zambia,South Africa,0,0,FIFA World Cup qualification,Lusaka,Zambia,False
20142,1997-01-12,Bolivia,Ecuador,2,0,FIFA World Cup qualification,La Paz,Bolivia,False
20143,1997-01-12,Burkina Faso,Guinea,0,2,FIFA World Cup qualification,Ouagadougou,Burkina Faso,False
20144,1997-01-12,Cameroon,Angola,0,0,FIFA World Cup qualification,Yaoundé,Cameroon,False
20145,1997-01-12,DR Congo,Congo,1,1,FIFA World Cup qualification,Kinshasa,Zaïre,False
20146,1997-01-12,Ghana,Morocco,2,2,FIFA World Cup qualification,Kumasi,Ghana,False
20147,1997-01-12,Kenya,Nigeria,1,1,FIFA World Cup qualification,Nairobi,Kenya,False
20149,1997-01-12,Peru,Chile,2,1,FIFA World Cup qualification,Lima,Peru,False
20150,1997-01-12,Tunisia,Egypt,1,0,FIFA World Cup qualification,Tunis,Tunisia,False
20151,1997-01-12,Uruguay,Argentina,0,0,FIFA World Cup qualification,Montevideo,Uruguay,False
20152,1997-01-12,Venezuela,Paraguay,0,2,FIFA World Cup qualification,Mérida,Venezuela,False
20153,1997-01-12,Zimbabwe,Togo,3,0,FIFA World Cup qualification,Harare,Zimbabwe,False
20154,1997-01-17,United States,Peru,0,1,USA Cup,San Diego,United States,False
20159,1997-01-19,United States,Mexico,0,2,USA Cup,Pasadena,United States,False
20163,1997-01-22,Mexico,Peru,0,0,USA Cup,Pasadena,United States,True
20168,1997-01-25,Malawi,Zambia,0,2,African Cup of Nations qualification,Blantyre,Malawi,False
20169,1997-01-26,Cameroon,Namibia,4,0,African Cup of Nations qualification,Yaoundé,Cameroon,False
20171,1997-01-26,Guinea,Tunisia,1,0,African Cup of Nations qualification,Conakry,Guinea,False
20172,1997-01-26,Ivory Coast,Benin,1,0,African Cup of Nations qualification,Bouaké,Ivory Coast,False
20174,1997-01-26,Liberia,Togo,1,2,African Cup of Nations qualification,Accra,Ghana,True
20175,1997-01-26,Mali,Algeria,1,0,African Cup of Nations qualification,Bamako,Mali,False
20176,1997-01-26,Mozambique,Mauritius,3,0,African Cup of Nations qualification,Maputo,Mozambique,False
20178,1997-01-26,Tanzania,DR Congo,1,2,African Cup of Nations qualification,Dar es Salaam,Tanzania,False
20179,1997-01-26,Zimbabwe,Ghana,0,0,African Cup of Nations qualification,Harare,Zimbabwe,False
20187,1997-02-07,Russia,Serbia,1,1,Lunar New Year Cup,So Kon Po,Hong Kong,True
20190,1997-02-09,Thailand,Japan,1,1,King's Cup,Bangkok,Thailand,False
20191,1997-02-10,Russia,Switzerland,2,1,Lunar New Year Cup,So Kon Po,Hong Kong,True
20192,1997-02-11,Estonia,Scotland,0,0,FIFA World Cup qualification,Monaco,Monaco,True
20194,1997-02-11,Thailand,Sweden,0,0,King's Cup,Bangkok,Thailand,False
20196,1997-02-12,Bolivia,Chile,1,1,FIFA World Cup qualification,La Paz,Bolivia,False
20197,1997-02-12,Colombia,Argentina,0,1,FIFA World Cup qualification,Barranquilla,Colombia,False
20198,1997-02-12,Ecuador,Uruguay,4,0,FIFA World Cup qualification,Quito,Ecuador,False
20199,1997-02-12,England,Italy,0,1,FIFA World Cup qualification,London,England,False
20201,1997-02-12,Paraguay,Peru,2,1,FIFA World Cup qualification,Asunción,Paraguay,False
20202,1997-02-12,Spain,Malta,4,0,FIFA World Cup qualification,Alicante,Spain,False
20204,1997-02-13,Japan,Sweden,0,1,King's Cup,Bangkok,Thailand,True
20205,1997-02-14,Cyprus,Latvia,2,0,Cyprus International Tournament,Paralímni,Cyprus,False
20206,1997-02-14,Lithuania,Poland,0,0,Cyprus International Tournament,Agía Nápa,Cyprus,True
20207,1997-02-15,Cyprus,Poland,2,3,Cyprus International Tournament,Agía Nápa,Cyprus,False
20208,1997-02-15,Latvia,Lithuania,1,0,Cyprus International Tournament,Dherynia,Cyprus,True
20209,1997-02-15,Tonga,Solomon Islands,0,4,FIFA World Cup qualification,Nuku'alofa,Tonga,False
20212,1997-02-16,Thailand,Sweden,1,3,King's Cup,Bangkok,Thailand,False
20213,1997-02-17,Cyprus,Lithuania,1,0,Cyprus International Tournament,Paralímni,Cyprus,False
20215,1997-02-17,Latvia,Poland,2,3,Cyprus International Tournament,Dherynia,Cyprus,True
20219,1997-02-19,Guyana,French Guiana,2,0,CFU Caribbean Cup qualification,Georgetown,Guyana,False
20221,1997-02-21,China PR,Singapore,3,1,Dunhill Cup,Kuala Lumpur,Malaysia,True
20223,1997-02-21,Jamaica,Bermuda,1,0,CFU Caribbean Cup qualification,Kingston,Jamaica,False
20224,1997-02-21,Malaysia,Finland,2,1,Dunhill Cup,Kuala Lumpur,Malaysia,False
20225,1997-02-22,Bosnia and Herzegovina,Vietnam,4,0,Dunhill Cup,Kuala Lumpur,Malaysia,True
20226,1997-02-22,Hong Kong,South Korea,0,2,FIFA World Cup qualification,Victoria,Hong Kong,False
20227,1997-02-22,Indonesia,Zimbabwe,0,0,Dunhill Cup,Kuala Lumpur,Malaysia,True
20228,1997-02-23,Benin,Algeria,1,1,African Cup of Nations qualification,Cotonou,Benin,False
20230,1997-02-23,China PR,Finland,2,1,Dunhill Cup,Kuala Lumpur,Malaysia,True
20231,1997-02-23,Ethiopia,Egypt,1,1,African Cup of Nations qualification,Addis Abeba,Ethiopia,False
20232,1997-02-23,Guyana,French Guiana,2,2,CFU Caribbean Cup qualification,Georgetown,Guyana,False
20233,1997-02-23,Jamaica,Bermuda,3,2,CFU Caribbean Cup qualification,Kingston,Jamaica,False
20234,1997-02-23,Malaysia,Singapore,0,0,Dunhill Cup,Kuala Lumpur,Malaysia,False
20235,1997-02-23,Mali,Ivory Coast,1,2,African Cup of Nations qualification,Bamako,Mali,False
20236,1997-02-23,Mauritius,Zambia,0,0,African Cup of Nations qualification,Curepipe,Mauritius,False
20237,1997-02-23,Tanzania,Liberia,1,1,African Cup of Nations qualification,Dar es Salaam,Tanzania,False
20238,1997-02-23,Togo,DR Congo,1,1,African Cup of Nations qualification,Lomé,Togo,False
20239,1997-02-23,Zimbabwe,Angola,1,0,African Cup of Nations qualification,Harare,Zimbabwe,False
20240,1997-02-24,Bosnia and Herzegovina,Zimbabwe,2,2,Dunhill Cup,Kuala Lumpur,Malaysia,True
20241,1997-02-24,Indonesia,Vietnam,1,0,Dunhill Cup,Kuala Lumpur,Malaysia,True
20242,1997-02-25,Malaysia,China PR,0,2,Dunhill Cup,Kuala Lumpur,Malaysia,False
20243,1997-02-25,Singapore,Finland,0,1,Dunhill Cup,Kuala Lumpur,Malaysia,True
20244,1997-02-26,Bosnia and Herzegovina,Indonesia,2,0,Dunhill Cup,Kuala Lumpur,Malaysia,True
20248,1997-02-26,Vietnam,Zimbabwe,0,6,Dunhill Cup,Kuala Lumpur,Malaysia,True
20249,1997-02-28,China PR,Zimbabwe,3,1,Dunhill Cup,Kuala Lumpur,Malaysia,True
20250,1997-02-28,Malaysia,Bosnia and Herzegovina,0,1,Dunhill Cup,Kuala Lumpur,Malaysia,False
20252,1997-03-01,Botswana,Malawi,1,4,COSAFA Cup,Gaborone,Botswana,False
20253,1997-03-01,Solomon Islands,Tonga,9,0,FIFA World Cup qualification,Honiara,Solomon Islands,False
20254,1997-03-02,Bosnia and Herzegovina,China PR,0,3,Dunhill Cup,Kuala Lumpur,Malaysia,True
20255,1997-03-02,Jamaica,United States,0,0,FIFA World Cup qualification,Kingston,Jamaica,False
20256,1997-03-02,Lesotho,Zambia,0,2,COSAFA Cup,Maseru,Lesotho,False
20257,1997-03-02,Mexico,Canada,4,0,FIFA World Cup qualification,Mexico City,Mexico,False
20259,1997-03-02,Thailand,South Korea,1,3,FIFA World Cup qualification,Bangkok,Thailand,False
20260,1997-03-03,Eswatini,Mozambique,0,4,COSAFA Cup,Lobamba,Eswatini,False
20261,1997-03-05,Aruba,Curaçao,2,1,CFU Caribbean Cup qualification,Oranjestad,Aruba,False
20265,1997-03-09,Thailand,Hong Kong,2,0,FIFA World Cup qualification,Bangkok,Thailand,False
20270,1997-03-12,Martinique,Saint Lucia,1,0,CFU Caribbean Cup qualification,Fort-de-France,Martinique,False
20274,1997-03-14,Saint Lucia,Saint Vincent and the Grenadines,3,2,CFU Caribbean Cup qualification,Fort-de-France,Martinique,True
20276,1997-03-16,Costa Rica,Mexico,0,0,FIFA World Cup qualification,San José,Costa Rica,False
20277,1997-03-16,Malaysia,Bangladesh,2,0,FIFA World Cup qualification,Kuala Lumpur,Malaysia,False
20278,1997-03-16,Namibia,Zimbabwe,2,1,COSAFA Cup,Windhoek,Namibia,False
20279,1997-03-16,United States,Canada,3,0,FIFA World Cup qualification,Palo Alto,United States,False
20281,1997-03-18,Bangladesh,Chinese Taipei,1,3,FIFA World Cup qualification,Kuala Lumpur,Malaysia,True
20283,1997-03-18,Malaysia,Saudi Arabia,0,0,FIFA World Cup qualification,Kuala Lumpur,Malaysia,False
20286,1997-03-20,Bangladesh,Saudi Arabia,1,4,FIFA World Cup qualification,Kuala Lumpur,Malaysia,True
20287,1997-03-20,Malaysia,Chinese Taipei,2,0,FIFA World Cup qualification,Kuala Lumpur,Malaysia,False
20290,1997-03-23,Costa Rica,United States,3,2,FIFA World Cup qualification,San José,Costa Rica,False
20291,1997-03-23,Nepal,Macau,1,1,FIFA World Cup qualification,Muscat,Oman,True
20292,1997-03-23,Oman,Japan,0,1,FIFA World Cup qualification,Muscat,Oman,False
20293,1997-03-23,Panama,Belize,1,1,UNCAF Cup,Panama City,Panama,False
20295,1997-03-25,Macau,Japan,0,10,FIFA World Cup qualification,Muscat,Oman,True
20296,1997-03-25,Oman,Nepal,1,0,FIFA World Cup qualification,Muscat,Oman,False
20297,1997-03-27,Nepal,Japan,0,6,FIFA World Cup qualification,Muscat,Oman,True
20298,1997-03-27,Oman,Macau,4,0,FIFA World Cup qualification,Muscat,Oman,False
20299,1997-03-27,Saudi Arabia,Bangladesh,3,0,FIFA World Cup qualification,Jeddah,Saudi Arabia,False
20300,1997-03-29,Albania,Ukraine,0,1,FIFA World Cup qualification,Granada,Spain,True
20301,1997-03-29,Croatia,Denmark,1,1,FIFA World Cup qualification,Split,Croatia,False
20302,1997-03-29,Cyprus,Russia,1,1,FIFA World Cup qualification,Paralímni,Cyprus,False
20304,1997-03-29,Italy,Moldova,3,0,FIFA World Cup qualification,Trieste,Italy,False
20305,1997-03-29,Netherlands,San Marino,4,0,FIFA World Cup qualification,Amsterdam,Netherlands,False
20306,1997-03-29,Northern Ireland,Portugal,0,0,FIFA World Cup qualification,Belfast,Northern Ireland,False
20307,1997-03-29,Romania,Liechtenstein,8,0,FIFA World Cup qualification,Bucharest,Romania,False
20308,1997-03-29,Saudi Arabia,Malaysia,3,0,FIFA World Cup qualification,Jeddah,Saudi Arabia,False
20309,1997-03-29,Scotland,Estonia,2,0,FIFA World Cup qualification,Kilmarnock,Scotland,False
20313,1997-03-29,Wales,Belgium,1,2,FIFA World Cup qualification,Cardiff,Wales,False
20314,1997-03-30,Belize,Panama,0,1,UNCAF Cup,San Ignacio,Belize,False
20315,1997-03-30,China PR,Iraq,0,2,Nehru Cup,Cochin,India,True
20318,1997-03-30,Hong Kong,Thailand,3,2,FIFA World Cup qualification,Victoria,Hong Kong,False
20319,1997-03-31,Bangladesh,Malaysia,0,1,FIFA World Cup qualification,Jeddah,Saudi Arabia,True
20320,1997-03-31,Luxembourg,Israel,0,3,FIFA World Cup qualification,Luxembourg,Luxembourg,False
20321,1997-03-31,Malta,Slovakia,0,2,FIFA World Cup qualification,Attard,Malta,False
20322,1997-03-31,Saudi Arabia,Chinese Taipei,6,0,FIFA World Cup qualification,Jeddah,Saudi Arabia,False
20323,1997-04-01,India,China PR,0,0,Nehru Cup,Cochin,India,False
20324,1997-04-02,Albania,Germany,2,3,FIFA World Cup qualification,Granada,Spain,True
20325,1997-04-02,Azerbaijan,Finland,1,2,FIFA World Cup qualification,Baku,Azerbaijan,False
20326,1997-04-02,Barbados,Grenada,1,1,CFU Caribbean Cup qualification,Port of Spain,Trinidad and Tobago,True
20327,1997-04-02,Bolivia,Argentina,2,1,FIFA World Cup qualification,La Paz,Bolivia,False
20328,1997-04-02,Bosnia and Herzegovina,Greece,0,1,FIFA World Cup qualification,Sarajevo,Bosnia and Herzegovina,False
