,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
40524,2019-05-11,Seychelles,Botswana,1,3,African Nations Championship,Victoria,Seychelles,False
40525,2019-05-25,Eswatini,Mauritius,2,2,COSAFA Cup,Durban,South Africa,True
40528,2019-05-26,Mozambique,Namibia,1,2,COSAFA Cup,Durban,South Africa,True
40529,2019-05-26,Malawi,Seychelles,3,0,COSAFA Cup,Durban,South Africa,True
40530,2019-05-27,Eswatini,Comoros,2,2,COSAFA Cup,Durban,South Africa,True
40531,2019-05-28,Seychelles,Mozambique,0,0,COSAFA Cup,Durban,South Africa,True
40532,2019-05-28,Namibia,Malawi,1,2,COSAFA Cup,Durban,South Africa,True
40534,2019-05-29,Comoros,Mauritius,2,1,COSAFA Cup,Durban,South Africa,True
40536,2019-05-30,Mozambique,Malawi,1,1,COSAFA Cup,Durban,South Africa,True
40537,2019-05-30,Namibia,Seychelles,3,0,COSAFA Cup,Durban,South Africa,True
